Person,Sex,Age,Race,Educ,Income,Testimony,InstructionType,Verdict
27,Female,1980,Black or African American,Some college credit,"$10,000 to 19,999",strong,RI,not guilty
28,Male,1957,American Indian or Alaskan Native,"Doctorate degree (e.g., PhD, EdD)","$60,000 to $69,999",weak,NJ,not guilty
29,Female,1958,Black or African American,"Bachelor's degree (e.g., BA, AB, BS)","$50,000 to $59,999",strong,NJ,not guilty
30,Male,1989,Black or African American,High school graduate (diploma or GED),"$40,000 to $49,999",strong,RI,guilty
31,Male,1977,Some Other Race,High school graduate (diploma or GED),"$30,000 to $39,999",weak,RI,not guilty
32,Male,1973,White,"Bachelor's degree (e.g., BA, AB, BS)","$150,000 to $199,999",weak,RI,not guilty
33,Male,1993,Black or African American,Some college credit,"$90,000 to $99,999",weak,NJ,not guilty
34,Female,1980,White,Some college credit,"$60,000 to $69,999",strong,RI,guilty
35,Male,1971,White,"Associate degree (e.g., AA, AS)","$50,000 to $59,999",strong,RI,not guilty
36,Female,1968,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",weak,RI,not guilty
37,Male,1959,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",weak,NJ,not guilty
38,Female,1980,White,"Master's degree (e.g., MA, MS, MEd)","$10,000 to 19,999",weak,RI,not guilty
39,Male,1976,Asian,"Master's degree (e.g., MA, MS, MEd)","$100,000 to $149,999",strong,RI,not guilty
40,Male,1968,White,"Bachelor's degree (e.g., BA, AB, BS)","Less than $10,000",weak,RI,guilty
41,Male,1983,White,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",strong,NJ,not guilty
42,Female,1980,White,"Master's degree (e.g., MA, MS, MEd)","$60,000 to $69,999",weak,NJ,not guilty
43,Male,1985,Black or African American,"Associate degree (e.g., AA, AS)","$30,000 to $39,999",strong,RI,guilty
44,Female,1963,White,"Master's degree (e.g., MA, MS, MEd)","$60,000 to $69,999",weak,NJ,guilty
45,Female,1947,White,High school graduate (diploma or GED),"$20,000 to $29,999",weak,NJ,not guilty
46,Female,1979,White,"Associate degree (e.g., AA, AS)","$20,000 to $29,999",weak,RI,not guilty
47,Female,1980,White,Some college credit,"$10,000 to 19,999",weak,NJ,guilty
48,Female,1979,Black or African American,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",strong,RI,guilty
49,Female,1967,White,"Bachelor's degree (e.g., BA, AB, BS)","$90,000 to $99,999",strong,NJ,not guilty
50,Male,1980,White,High school graduate (diploma or GED),"$30,000 to $39,999",strong,NJ,not guilty
51,Female,1970,White,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",strong,NJ,not guilty
52,Male,1976,White,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",weak,RI,not guilty
53,Female,1959,White,"Associate degree (e.g., AA, AS)","$20,000 to $29,999",weak,RI,not guilty
54,Female,1961,White,High school graduate (diploma or GED),"$10,000 to 19,999",weak,NJ,not guilty
55,Male,1961,White,Some college credit,"$10,000 to 19,999",strong,RI,not guilty
56,Female,1981,White,"Associate degree (e.g., AA, AS)","$50,000 to $59,999",weak,NJ,not guilty
57,Female,1983,White,Some college credit,"$40,000 to $49,999",weak,NJ,guilty
58,Female,1980,White,"Associate degree (e.g., AA, AS)","$20,000 to $29,999",strong,NJ,not guilty
59,Female,1986,White,Some college credit,"$20,000 to $29,999",strong,RI,not guilty
60,Female,1987,White,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",strong,NJ,not guilty
61,Female,1960,White,High school graduate (diploma or GED),"$70,000 to $79,999",weak,RI,not guilty
62,Male,1985,White,High school graduate (diploma or GED),"Less than $10,000",weak,NJ,not guilty
63,Female,1966,White,High school graduate (diploma or GED),"$40,000 to $49,999",strong,RI,not guilty
64,Female,1958,White,"Associate degree (e.g., AA, AS)","$10,000 to 19,999",weak,RI,not guilty
65,Female,1966,White,"Bachelor's degree (e.g., BA, AB, BS)","$10,000 to 19,999",strong,RI,guilty
66,Female,1961,White,"Associate degree (e.g., AA, AS)","$10,000 to 19,999",strong,RI,not guilty
67,Male,1971,White,"Associate degree (e.g., AA, AS)","$30,000 to $39,999",strong,NJ,not guilty
68,Male,1979,American Indian or Alaskan Native,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",weak,RI,not guilty
69,Male,1965,White,Some college credit,"$20,000 to $29,999",weak,NJ,not guilty
70,Male,1982,Black or African American,"Bachelor's degree (e.g., BA, AB, BS)","$10,000 to 19,999",weak,NJ,not guilty
71,Female,1962,White,"Associate degree (e.g., AA, AS)","$30,000 to $39,999",weak,RI,not guilty
72,Female,1991,Some Other Race,"Associate degree (e.g., AA, AS)","Less than $10,000",strong,RI,guilty
73,Male,1986,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",strong,NJ,not guilty
74,Male,1983,White,Some college credit,"Less than $10,000",strong,NJ,not guilty
75,Male,1983,White,"Bachelor's degree (e.g., BA, AB, BS)","$50,000 to $59,999",weak,NJ,not guilty
76,Female,1991,White,"Bachelor's degree (e.g., BA, AB, BS)","$10,000 to 19,999",strong,RI,not guilty
77,Female,1964,White,High school graduate (diploma or GED),"$70,000 to $79,999",strong,NJ,not guilty
78,Male,1981,Some Other Race,High school graduate (diploma or GED),"$50,000 to $59,999",strong,NJ,not guilty
79,Female,1979,Black or African American,"Bachelor's degree (e.g., BA, AB, BS)","$30,000 to $39,999",weak,RI,guilty
80,Female,1992,White,Some college credit,"$60,000 to $69,999",strong,NJ,not guilty
81,Female,1979,White,Some college credit,"$100,000 to $149,999",strong,RI,not guilty
82,Female,1964,White,Some college credit,"$40,000 to $49,999",weak,NJ,not guilty
83,Male,1975,White,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",weak,NJ,not guilty
84,Male,1985,White,"Bachelor's degree (e.g., BA, AB, BS)","$100,000 to $149,999",weak,RI,guilty
85,Female,1970,White,Some college credit,"$30,000 to $39,999",strong,RI,not guilty
86,Male,1952,White,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",strong,NJ,not guilty
87,Male,1988,White,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",strong,RI,not guilty
88,Female,1984,White,"Associate degree (e.g., AA, AS)","Less than $10,000",strong,NJ,not guilty
89,Male,1988,Some Other Race,"Associate degree (e.g., AA, AS)","$10,000 to 19,999",strong,RI,guilty
